index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,1.334,6.873,"July 20th, 2020, council briefing meet willing come to order.",0,,
1,0.97,6.873,7.374,The time is 9:34 A.M ..,0,,
2,0.97,7.374,16.383,Will the clerk please call the roll?,0,,
3,0.97,16.383,20.653,Lewis?,1,,
4,0.97,20.653,21.388,Present.,2,,
5,0.97,21.388,22.989,Morales?,3,,
6,0.97,22.989,23.623,Here.,4,,
7,0.97,23.623,25.191,Mosqueda?,5,,
8,0.97,25.191,26.493,Here.,6,,
9,0.97,26.493,28.395,Pedersen?,7,,
10,0.97,28.395,29.429,Here.,8,,
11,0.97,29.429,31.197,Strauss?,9,,
12,0.97,31.197,32.399,Present.,10,,
13,0.97,32.399,32.699,Herbold?,11,,
14,0.97,32.699,32.932,Here.,12,,
15,0.97,32.932,34.0,Juarez?,13,,
16,0.97,34.0,34.901,Here.,14,,
17,0.97,34.901,35.802,Council President Gonzalez.,15,,
18,0.97,35.802,36.169,Here.,16,,
19,0.97,36.169,37.103,Eight present.,17,,
20,0.97,37.103,37.604,Thank you so much.,18,,
21,0.97,37.604,43.41,"If there is no objection, the minutes of July 13th, 2020, will be adopted.",18,,
22,0.97,43.41,47.08,"Hearing no objection, the minutes are adopted.",18,,
23,0.97,47.08,66.933,"President's report, just quickly this morning, there will be a memo actually, it already came out at 9:01 a.m., a memo to schedule additional meetings of the select budget committee.",18,,
24,0.97,66.933,72.238,Memo and meeting times it creates do not depart from the schedules Councilmember Mosqueda gave to you and previously discussed last week.,18,,
25,0.97,72.238,86.953,It simply lows them to be listed as regular rather than special meeting given the central stark additional time and flexibility to published materials for the benefit of us and the public as they work to meet our legislative and parliamentary deadlines.,18,,
26,0.97,86.953,94.727,I also want to mention that we are testing out a new approach to public comment this afternoon at the city council meeting.,18,,
27,0.97,94.727,119.352,"You may hear me say a lot of times during the introductory remarks that we're looking at new ways to improve the remote public comment period so this will be one of the things that we hope will help to improve and stream line remote public comment during full city Council, so on this afternoon's agenda, you may have noticed it lists two separate public comment periods.",18,,
28,0.97,119.352,131.698,The first comment period is for the public to address items that might appear on the introduction and referral calendar or on the Council's 2020 work program.,18,,
29,0.97,131.698,144.077,"Essentially, it is a public comment period that is designated for general comment for items that are not slated for final consideration on today's Council agenda.",18,,
30,0.97,144.077,151.017,The second public comment period will be exclusively for comments on items that are slated for final action on the agenda.,18,,
