index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.743,14.914,"I am Council member Juarez, chair of the committee, will the clerk please call the role.",0,,
1,0.97,14.914,16.716,Council member Peterson.,1,,
2,0.97,16.716,18.151,Here.,2,,
3,0.97,18.151,27.36,Council member Herbold.,3,,
4,0.97,27.36,29.763,Here.,4,,
5,0.97,29.763,35.769,Council member Sawant.,4,,
6,0.97,35.769,37.737,Present.,5,,
7,0.97,37.737,40.707,Council member Mosqueda is excused.,5,,
8,0.97,40.707,42.809,Hearing no objection.,5,,
9,0.97,42.809,44.31,The agenda is adopted.,5,,
10,0.97,44.31,46.513,Let's move on to the chair's report.,5,,
11,0.97,46.513,48.148,We have four presentations for the committee.,5,,
12,0.97,48.148,50.35,There's no vote today on any of these things.,5,,
13,0.97,50.35,53.186,We have Seattle public library team with us.,5,,
14,0.97,53.186,54.054,Seattle center team with us.,5,,
15,0.97,54.054,59.426,And Seattle parks and Rec.,5,,
16,0.97,59.426,61.995,Three of my favorite teams.,5,,
17,0.97,61.995,63.329,Seattle public library first.,5,,
18,0.97,63.329,69.135,"Seattle parks and recreation, all of them doing their Rsji reports.",5,,
19,0.97,69.135,74.507,And Seattle public library in addition has a report from their levy.,5,,
20,0.97,74.507,77.544,So this is exciting.,5,,
21,0.97,77.544,82.015,At this time we will open the remote public comment period.,5,,
22,0.97,82.015,89.022,It remains the strong intent of the Seattle city council have public comment regularly included on meeting Agendas.,5,,
23,0.97,89.022,105.305,However we reserve the right to end or eliminate this public comment period at any point if we deem that this system is being abused or is unsuitable for allowing our meetings to be conducted efficiently and in a manner in which we were able to conduct our necessary business.,5,,
24,0.97,105.305,109.776,Public comment period is open for those wishing to speak to items on the agenda.,5,,
25,0.97,109.776,116.349,I will moderate the general public comment period in the following manner.,5,,
26,0.97,116.349,118.184,The public comment period is eight minutes.,5,,
27,0.97,118.184,120.52,Each Speaker will be given two minutes.,5,,
28,0.97,120.52,121.354,We can go further.,5,,
29,0.97,121.354,123.59,I need to know how many people are signed up.,5,,
30,0.97,123.59,127.26,"Council member, no one is signed up for public comment.",6,,
31,0.97,127.26,132.132,"Okay, but we need to go through the instructions, just in case, correct?",7,,
32,0.97,132.132,133.399,I don't--Linda?,8,,
33,0.97,133.399,135.401,Can you weigh in on this?,8,,
34,0.97,135.401,138.104,Do we need to --,8,,
35,0.97,138.104,138.438,Correct.,9,,
36,0.97,138.438,139.372,Yes.,9,,
37,0.97,139.372,140.907,We should.,10,,
38,0.97,140.907,141.174,Okay.,10,,
39,0.97,141.174,149.149,"So at this time, can you give the public comment instructions and after that I'll close public comment.",10,,
40,0.97,149.149,150.984,Even though we have no--we still have to do it.,10,,
41,0.97,150.984,154.621,Got it.,11,,
42,0.97,154.621,155.488,Okay.,11,,
43,0.97,155.488,157.557,Here we go.,11,,
44,0.97,157.557,163.163,So I will call one Speaker at a time in the order in which registered on the Online sign up list.,12,,
45,0.97,163.163,174.107,If you've not yet registered to speak but would like to sign up before the end of this public comment period by going to the Council's Website at Seattle.Gov/Council.,12,,
46,0.97,174.107,179.145,The public comment link is listed on the day's agenda.,12,,
47,0.97,179.145,188.922,"Once called, staff will Unmute the appropriate microphone and an automatic prompt of you have been Unmuted will be the Speaker's Cue that it's their turn.",12,,
48,0.97,188.922,195.461,The Speaker must press Star six to Unmute themselves after their name is called.,12,,
49,0.97,195.461,199.032,Then state your name and the item on the agenda.,12,,
50,0.97,199.032,214.447,"Once you hear the Chime, please wrap up your public comment, if Speaker dos not end their comments at the end of the allotted time provided the Speaker's microphone will be muted to allow us to call in the next Speaker.",12,,
51,0.97,214.447,217.183,"Once you complete public comment, Disconnect from the line.",12,,
52,0.97,217.183,227.594,"If you plan to continue following the meeting, due so via Seattle channel for the listed options on the agenda.",12,,
53,0.97,227.594,230.163,There are no public Commenters signed up today.,12,,
54,0.97,230.163,233.299,And nobody signed up while you were speaking as well.,13,,
55,0.97,233.299,236.903,Sometimes we have people call in later or as we're doing the instructions.,13,,
56,0.97,236.903,238.705,"Okay, good, so we open the public comment.",13,,
57,0.97,238.705,240.773,There are no speakers signed up.,13,,
58,0.97,240.773,244.077,So the public comment period is officially now closed.,13,,
59,0.97,244.077,248.648,Moving on to items of business.,13,,
60,0.97,248.648,251.317,Nagine can you read item one in the record.,13,,
61,0.97,251.317,257.323,"Agenda item one, Seattle public library 2020 levy report.",14,,
62,0.97,257.323,257.59,Great.,15,,
63,0.97,257.59,261.227,So we have our friends from the Seattle public library.,15,,
64,0.97,261.227,263.563,Let's have you guys do your introductions for the record.,15,,
65,0.97,263.563,265.665,And I know you have a presentation for us.,15,,
66,0.97,265.665,267.4,And I'll just let you take it away.,15,,
67,0.97,267.4,271.037,"Thank you very much, chair Juarez and committee members.",16,,
68,0.97,271.037,274.841,I'm Tom Fay the interim chief librarian.,16,,
69,0.97,274.841,279.379,"Jay rich, president of the library board.",17,,
70,0.97,279.379,286.552,"Carmen, vice chair of the library board.",18,,
71,0.97,286.552,291.858,"Anne, library levy administrator.",19,,
72,0.97,298.164,298.431,Great.,19,,
73,0.97,298.431,303.102,And if we could both Jay and Carmen have a few introductory remarks,19,,
74,0.97,303.102,308.307,"Thank you, Tom, and thank you committee members for the opportunity to offer some introductory remarks today.",20,,
75,0.97,308.307,322.555,As you know t library board of trustees provides over site to the Seattle public library ensuring that it effectively serves our city and appropriately uses its funding resources.,20,,
76,0.97,322.555,333.366,"Last year all Seatlites witnessed a global pandemic, economic crisis, widespread social and political unrest in the closure of all Seattle public library buildings starting in March.",20,,
77,0.97,333.366,351.617,"Thanks in part to the one-time use of some levy resources the library responded to the pandemic by offering a wide range of virtual services, events, and programs circulating the record number of electronic materials, and providing curb side access to our physical collection.",20,,
78,0.97,351.617,369.535,"Although unable to expand open hours within its branch is closed the library focused on meeting the levy's goals, Uhm proving access, enhancing collections, investing in technology, providing children's programming, and maintaining facilities.",20,,
79,0.97,369.535,379.045,I want to stop just to thank the Council for approving the $1.1 million in Seattle rescue funds dedicated to hiring staff back.,20,,
80,0.97,379.045,385.051,This will allow us to reach our goal of returning to Pre- pandemic hours of operation.,20,,
81,0.97,385.051,393.426,The presentation you will see shortly will provide insight into the important work performed across these categories of levy purposes in 2020.,20,,
82,0.97,393.426,403.035,I'd also like to express my personal appreciation to the library staff who work diligently under trying circumstances to deliver these services.,20,,
83,0.97,403.035,411.411,And also offer my thanks to the voters for providing the critical levy resources that supported our pandemic response.,20,,
84,0.97,411.411,416.849,Let me now turn it over to Carmen.,20,,
85,0.97,416.849,417.25,"Thanks, Jay.",21,,
86,0.97,417.25,425.425,"As the Vice President of the library board of trustees, I'd like to echo Jay's remarks about the critical nature of levy funding.",21,,
87,0.97,425.425,428.427,And the impact it made last year for Seattle residents.,21,,
88,0.97,428.427,435.234,"So in approving the library levy, voters placed their trust in Seattle's library system.",21,,
89,0.97,435.234,436.469,The staff and the board.,21,,
90,0.97,436.469,440.339,And we want to ensure that we deliver on the levy's promises.,21,,
91,0.97,440.339,456.389,"So as the city council reviews the city's 2022 budget, please know that restoring the $5.8 million cut from the library's budget is the most pressing priority for the board of trustees, as it's critical in meeting our levy commitments.",21,,
92,0.97,456.389,463.496,"And as you're aware, a key component of the levy package was the addition of 10,000 hours of library service.",21,,
93,0.97,463.496,469.202,The equity focus of this means more open hours in the neighborhoods that need the library the most.,21,,
94,0.97,469.202,479.078,"So as you consider today's presentation, and the impact of levy funds, please know that city council support is critical for meeting our shared levy commitment to voters.",21,,
95,0.97,479.078,485.218,"And with that, I'll turn the Mic back over to Tom for the presentation, thank you so much.",21,,
96,0.97,485.218,488.154,Thank you both.,22,,
97,0.97,488.154,489.455,"Nagine, next, please.",22,,
98,0.97,489.455,500.233,"As you all might recall in August 2019, Seattle voters overwhelmingly approved a seven- year, 219 Million-Dollar property tax levy.",22,,
99,0.97,500.233,513.479,"Beyond renewing the 2012 commitments, the 2019 levy provides additional library hours as Carmen mentioned, elimination of over due fines, improved collections and technology.",22,,
100,0.97,513.479,519.252,"Safer, cleaner buildings, specialized programming and services for children and development of a plan for the future of library service.",22,,
101,0.97,519.252,523.389,"In 2020, we spent nearly 20 million of the library levy proceeds.",22,,
102,0.97,523.389,529.929,"At the start of 2020, we made good progress on accomplishment levy priorities.",22,,
103,0.97,529.929,535.534,"By March however, in response to Covid-19, library services were drastically altered.",22,,
104,0.97,535.534,542.909,I'll briefly review a few of the items during the course of this year as I get to some of the other levy commitments made.,22,,
105,0.97,542.909,551.584,"In January--on January 2ND, we stopped charging fines and waved all fine balances, restoring borrowing privileges to thousands of library users.",22,,
106,0.97,551.584,556.522,One of the key equity components of this levy.,22,,
107,0.97,556.522,562.228,"January 5th, we opened an additional hour at noon on Sundays.",22,,
108,0.97,562.228,570.87,"This was the first of our phases of the additional 10,000 hours we hope to bring to Seattle residents.",22,,
109,0.97,570.87,579.712,"And as you all know, March 13th, that special Friday the 13th was the last day that we were open to the public in 2020.",22,,
110,0.97,579.712,584.85,That was a record setting day for Seattle public library.,22,,
111,0.97,584.85,588.02,"We saw 11,822 patrons.",22,,
112,0.97,588.02,594.727,"And nearly 104,000 items checked out in a single Eight- hour period.",22,,
113,0.97,594.727,603.336,"And Interestingly, more than 500 patrons went to multiple branches to stock up during that time.",22,,
114,0.97,603.336,604.003,"Next, please.",22,,
115,0.97,604.003,612.912,"In July, public services staff began to reenter buildings and to work on the backlog, shelving and processing materials.",22,,
116,0.97,612.912,628.26,"But first, we needed to also develop guidelines around health screenings, Ppe, and physical distancing, as well as developing new scheduling models to have our staff work in buildings in a healthy and safe way.",22,,
117,0.97,628.26,630.696,Curb side launched on August 24th.,22,,
118,0.97,630.696,639.238,"But then sadly, three weeks later, curb side, an outdoor service was interrupted for a full week due to Wildfires.",22,,
119,0.97,639.238,639.572,"Next, please.",22,,
120,0.97,639.572,653.586,"In October, we added more curb side libraries and Online tutoring programs, Tutor.Com, to again assist with those at home, families, parents, needing to assist their children with the school work.",22,,
121,0.97,653.586,657.89,Within all virtual study sessions.,22,,
122,0.97,657.89,663.396,"In November, we reinstated due dates and we expanded our curb side services to more locations.",22,,
123,0.97,663.396,672.538,"And in December, we began offering up to 10 pages a day of free printing at select library locations.",22,,
124,0.97,672.538,679.211,"So far in 2021, we are happy to say that we have reopened 22 of 27 libraries.",22,,
125,0.97,679.211,686.318,The remaining locations will be reopening as we move through the next few months.,22,,
126,0.97,686.318,686.652,"Next, please.",22,,
127,0.97,686.652,698.664,"Like every city Department, we experience budget cuts in 2020 with a total reduction of 2.8 million from the general fund.",22,,
128,0.97,698.664,707.94,"The library Rebalanced its budget by not filling vacancies, cutting discretion purchases, and redirecting funds from the Seattle public library foundation.",22,,
129,0.97,707.94,722.354,"Due to the pandemic and library closures in 2020, the board redirected 1.58 million in levy proceeds planned for expanded hours and In-Person programming and redirected them to offset general fund support.",22,,
130,0.97,722.354,733.699,"Due to a more significant general fund budget reduction in 2021, levy funds for expanded hours were once again temporarily redirected by the library board.",22,,
131,0.97,733.699,749.548,The library cannot continue redirecting these levy funds and we will be unable to achieve our levy promises of expanded hours unless general fund resources are restored in 2022.,22,,
132,0.97,749.548,750.282,"Next, please.",22,,
133,0.97,750.282,761.46,"Despite the extended closure and the many challenges mentioned, we were able to deliver on several levy promises within the levy categories as highlighted in the next five slides.",22,,
134,0.97,761.46,769.769,"In hours and access, we promise to reduce the barriers to library services, over due fines were eliminated and outstanding fines cleared.",22,,
135,0.97,769.769,787.119,"Sunday hours were expanded and during the year of Covid, we were able to still have curb side services, we were able to relaunch our mobile services and meet the community where they were at and to better help our community partners and Community-Based organizations.",22,,
136,0.97,787.119,801.066,"And we were able to initiate a new instant library card system that saw 25,000 new users during the Covid period.",22,,
137,0.97,801.066,802.701,"Next, please.",22,,
138,0.97,802.701,807.406,"In collections, we promise to purchase more E books and popular materials.",22,,
139,0.97,807.406,817.049,"And we added 34,000 titles and 108 thank 108,000 copies to Digital collections.",22,,
140,0.97,817.049,822.154,"We included 13,000 copies of the most popular titles.",22,,
141,0.97,822.154,822.655,"Next, please.",22,,
142,0.97,822.655,829.195,"Technology and Online services, we have promised to upgrade technology and support Digital access.",22,,
143,0.97,829.195,843.676,We leveraged levy resources to expand our hot spot program to--by using some of the Seattle public library foundation funds and we loaned 1135 hot spots in the community.,22,,
144,0.97,843.676,853.819,We expanded Video conferences capabilities and improved Wifi Connectivity at the central library and all branches.,22,,
145,0.97,853.819,854.186,"Next, please.",22,,
146,0.97,854.186,870.636,"In children's programming, we promise to provide additional support for library early learning programs for children ages 0 through 5. we offered 43 videos on the Spl kids Youtube channel including virtual story times, early learning, play and learn.",22,,
147,0.97,870.636,885.117,"With financial support from the foundation, we distributed 6800 books to eight community partners so they in turn could distribute them to families they were supporting, next, please?",22,,
148,0.97,885.117,889.855,In maintenance we promise to maintain library buildings and preserve them for the future.,22,,
149,0.97,889.855,901.2,"Our design work for the green light branch, for the earthquake retrofit was completed in 2020 and we're moving towards construction documents now.",22,,
150,0.97,901.2,918.284,We adapted facilities to support curb side services and other pandemic related changes which took an enormous toll on our facility's teams and our facility's budgets as well as our facilities in general.,22,,
151,0.97,918.284,918.617,"Next, please.",22,,
152,0.97,918.617,922.655,"In 2020, 29% of our check outs were physical.",22,,
153,0.97,922.655,923.455,And 71% were Digital.,22,,
154,0.97,923.455,934.4,"This is in comparison to 2019, in which 62% of our check outs were physical and 38% were Digital.",22,,
155,0.97,934.4,938.404,In 2020 we saw a 26% increase in Digital circulation over all.,22,,
156,0.97,938.404,949.648,So we will be looking to see how this may change or effect the library in 2021 and 2022 as we reopen our buildings.,22,,
157,0.97,949.648,955.721,"And with that, I will stop and pause for any questions you might have.",22,,
158,0.97,959.958,961.493,I just want to say thank you.,22,,
159,0.97,961.493,963.429,You did that in record time.,22,,
160,0.97,963.429,965.397,"Very succinct, very clear.",22,,
161,0.97,965.397,967.533,I particularly like the back page.,22,,
162,0.97,967.533,970.102,Thank you for putting that in there.,22,,
163,0.97,970.102,972.304,"The levy proceeds, how they were spent.",22,,
164,0.97,972.304,973.372,I think it's self-explanatory.,22,,
165,0.97,973.372,979.445,This is great work of Jan who Crafted most of this.,23,,
166,0.97,979.445,980.746,"Thanks, Jan,",24,,
167,0.97,980.746,994.059,"Any questions for my colleagues? seeing no questions, is there anything else we need to hear from your I think we're going to go right into your next report.",25,,
168,0.97,1004.47,1013.645,"For the record I'm time Fay, interim chief librarian for the public library.",26,,
169,0.97,1013.645,1018.684,"Alex June, director of administrative services at the library.",27,,
170,0.97,1018.684,1025.491,"Nagine, I jumped the gun on that, can you read this item of business into the record.",28,,
171,0.97,1025.491,1030.362,"Agenda item 2, Seattle public library Rsji report briefing and discussion.",29,,
172,0.97,1030.362,1032.498,"Great, thank you, go ahead, Tom.",30,,
173,0.97,1032.498,1034.366,"All right, great, thank you again.",31,,
