index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.675,12.779,Good morning everyone.,0,,
1,0.97,12.779,15.482,Welcome back.,0,,
2,0.97,15.482,18.885,"It is April 12th, 2021.",0,,
3,0.97,18.885,21.354,The Council briefing meeting will now come to order.,0,,
4,0.97,21.354,23.39,The time is 9:32 A.M.,0,,
5,0.97,23.39,34.768,"Before the clerk call the roll, I'd like to note that Councilmember Sawant reached out to let us know that it is unlikely that you will be able to join us.",0,,
6,0.97,34.768,37.003,He does expect to be in attendance at full council.,0,,
7,0.97,37.003,39.005,Of the clerk please call the roll?,0,,
8,0.97,39.005,42.609,Herbold?,1,,
9,0.97,42.609,46.713,Juarez?,2,,
10,0.97,46.713,47.747,Here.,3,,
11,0.97,47.747,55.021,Herbold?,4,,
12,0.97,55.021,59.926,"If you just called me, my volume isn't working.",5,,
13,0.97,59.926,62.929,Thank you.,6,,
14,0.97,62.929,64.531,Councilmember Lewis.,6,,
15,0.97,64.531,65.832,Present.,7,,
16,0.97,65.832,67.634,Morales.,8,,
17,0.97,67.634,68.935,Here.,9,,
18,0.97,68.935,71.104,Mosqueda.,10,,
19,0.97,71.104,71.738,Present.,11,,
20,0.97,71.738,74.107,Pedersen.,12,,
21,0.97,74.107,76.209,Here.,13,,
22,0.97,76.209,77.544,Council President Gonzalez.,14,,
23,0.97,77.544,80.447,Present.,15,,
24,0.97,80.447,82.715,Seven present.,16,,
25,0.97,82.715,84.751,Payment thank you so much.,16,,
26,0.97,84.751,91.458,"The minutes of April 5th, 2021 will be adopted.",16,,
27,0.97,91.458,93.059,"Hearing no objections, the minutes are now adopted.",16,,
28,0.97,93.059,108.475,"The President's report, colleagues, I wanted to start off this morning's Council briefing by acknowledging yesterday afternoon we all heard and read about the horrible news that another incidence of gun violence occurred within our community.",16,,
29,0.97,108.475,109.776,This time in the central district.,16,,
30,0.97,109.776,118.785,At least gun what gunman ran to the corner of an Autozone store and fired East into the parking lot of a strip Mall.,16,,
31,0.97,118.785,129.796,"His bullets struck four people, including a 2 year old child, who is as of yesterday, still in critical condition.",16,,
32,0.97,129.796,133.099,Our thoughts of course are with the family and friends of the victims of this incident.,16,,
33,0.97,133.099,145.078,"My thanks go out to the first responders, including the Seattle police Department officers were called to this horrific scene, of yet another incident of gun violence within our community.",16,,
34,0.97,145.078,153.586,Spd is asking that anyone with information about the shooting call Homicide detectives to share any information they might have about the shooting.,16,,
35,0.97,153.586,159.025,They can do so by calling 206- 233-5000.,16,,
36,0.97,159.025,167.534,"Again, anyone with information about the shooting can share it by calling 206-233-5000.",16,,
37,0.97,167.534,176.743,"Our deepest thoughts go to, again all the friends and family of the four survivors at this point.",16,,
38,0.97,176.743,190.557,We hope that everybody has a speedy recovery and we also hope that we see Swifter action from our Federal Government to address the issues related to gun violence in all of our local communities.,16,,
39,0.97,190.557,207.64,"Covid-19 vaccines, colleagues, I wanted to remind folks at the top here that of course Covid-19 Vaccinations will start to be available to anyone 16 and older beginning this Thursday, April 15th.",17,,
40,0.97,207.64,214.08,"I did send out an Email to each of you and your offices on Friday, late evening.",17,,
41,0.97,214.08,221.654,Making sure that you were aware that the city of Seattle has put together for our own employees a vaccine Website via Sharepoint.,17,,
42,0.97,221.654,232.398,Members of the public can also Preregister for their vaccine at vaccination sites located within the city of Seattle.,17,,
43,0.97,232.398,235.201,It is important for folks to begin now to plan ahead for their vaccine.,17,,
44,0.97,235.201,241.774,"You don't have to wait until April 15th if you are a resident of the city of Seattle, or King County, to Preregister.",17,,
45,0.97,241.774,254.087,You can go to our Website at city of Seattle and search for Covid-19 vaccination notification list and get yourself Preregistered for Covid-19 vaccination.,17,,
46,0.97,254.087,267.0,"With that being said, colleagues, I'm going to go ahead and have us begin the process of hearing from our team members F█Rom the office O Intergovernmental relations.",18,,
47,0.97,267.0,278.544,They are here with us today to share with us their report out on all of the events that happened last weekend over the weekend since they were left with us.,18,,
48,0.97,278.544,285.018,I'm going to handed over to director Lily Wilson-Codega from the office of Intergovernmental relations to walk you through introductions and the presentation.,18,,
49,0.97,285.018,285.652,Good morning.,18,,
50,0.97,285.652,289.822,"Good morning, Lily Wilson- Codega, Oir director.",19,,
51,0.97,289.822,294.761,"Robin Koskey, deputy director.",20,,
52,0.97,294.761,299.232,"Quinn Majeski, state relations director.",21,,
53,0.97,299.232,302.802,"Hannah Smith, government affairs director.",22,,
54,0.97,302.802,308.574,"Good morning Council President, Council members.",23,,
55,0.97,308.574,314.847,We are before you today with a state legislative briefing with just over two weeks left in the legislative session.,23,,
56,0.97,314.847,322.789,The House and Senate have released their biannual budget procedures.,23,,
57,0.97,322.789,324.59,Notably both Referencing a 7% capital gains tax.,23,,
58,0.97,324.59,329.095,A high priority for Council.,23,,
59,0.97,329.095,334.067,"Both budgets make historic investments in Childcare, human services, support for low income parents, working families.",23,,
60,0.97,334.067,346.379,"The immigrant and refugee Committee, and others previously left out of Federal assistance available to residents of our state as well as rental assistance and housing more broadly.",23,,
61,0.97,346.379,351.017,"Now, the focus for budget writers will be on reconciling differences between proposals.",23,,
62,0.97,351.017,359.325,"As these negotiations continue, we are working with a large collection of other cities that Robin can elaborate on a little more.",23,,
63,0.97,359.325,364.764,She had done a tremendous job of organizing the city coalition.,23,,
64,0.97,364.764,382.115,"We will be requesting an additional $400 million in housing investments using the influx of Arpa dollars coming into the state, given a Once- In-A-Lifetime opportunity cities have to house our most vulnerable through rapid acquisition of building, land, hotels, et cetera.",23,,
65,0.97,382.115,383.649,With threats at a historic low point.,23,,
66,0.97,383.649,388.221,"Again, Robin will reference this in more detail when she speaks to her portfolio.",23,,
67,0.97,388.221,395.328,We very much appreciate Councilmember Mosqueda joining us for a meeting on Friday to discuss these housing investments.,23,,
68,0.97,395.328,401.868,"And our corresponding budget as, we clearly have some work to do there.",23,,
69,0.97,401.868,411.144,"We may be reaching out to your offices to engage with specific budget writers are members of the delegation in the coming weeks, giving this is a clinical investment for the state to make.",23,,
70,0.97,411.144,413.179,In our local communities that is certainly a heavy left.,23,,
71,0.97,413.179,424.791,"We have passed the final cut out date . The final day of the legislative session is scheduled for Sunday, April 25th.",23,,
72,0.97,424.791,432.298,The remaining two weeks of session will be used to reconcile differences in budgets.,23,,
73,0.97,432.298,439.806,Hopefully with the adoption of the $400 million in additional housing investments across the state.,23,,
74,0.97,439.806,443.009,"I will now turn it over to Quinn Majeski, or state relations director.",23,,
75,0.97,443.009,446.312,"Thank you, Lily.",24,,
76,0.97,446.312,453.019,"In the budget and revenue space, we pretty much covered the state of things.",24,,
77,0.97,453.019,461.327,The House and Senate have all released and passed their versions of the operating capital and transportation budgets.,24,,
78,0.97,461.327,469.435,This past week has largely been devoted to passing legislation before the final opposite House of Lords and cut off that occurred on Sunday.,24,,
79,0.97,469.435,481.848,They are continuing to negotiate with the primary point of difference in negotiations being the allocation of Federal funds.,24,,
80,0.97,481.848,492.024,"Guidance has continued to be promulgated by the Federal Government, so we do anticipate particular to the Senate, who allocated fewer Federal funds than their initial proposal.",24,,
81,0.97,492.024,502.168,Both the house and Senate Parsing through and making some additional allocations.,24,,
82,0.97,502.168,503.836,That is the primary point of negotiation.,24,,
83,0.97,503.836,506.639,"Outside of that, there is not much to report in the budget and revenue space.",24,,
84,0.97,506.639,509.075,I will go ahead and stop there and pause for any questions.,24,,
85,0.97,509.075,513.546,"Colleagues, and the questions? I'm Scrolling to see if I see any.",25,,
86,0.97,513.546,514.981,I don't see any hands.,25,,
87,0.97,514.981,517.95,I think we can continue.,25,,
