index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.95,23.723,The January 25th meeting of the public safety Committee is in order.,0,,
1,0.97,23.723,32.332,It is 9:30.,0,,
2,0.97,32.332,33.833,"Teresa Mosqueda cannot come, so she is excused.",0,,
3,0.97,33.833,37.937,Let's call the roll.,0,,
4,0.97,37.937,44.377,Andrew Lewis.,1,,
5,0.97,44.377,50.617,Sara Nelson . All are present.,1,,
6,0.97,50.617,56.356,"On the agenda, we will hear more on a decree and outreach meeting.",2,,
7,0.97,56.356,70.837,We will hear from the monitor of the consent decree and then we will hear from the office of the inspector general.,2,,
8,0.97,70.837,101.968,"And her staff of the disciplinary system for Stds sworn personnel--and then we will look at the 2022--with that, we will approve our agenda for our committee moving.",2,,
9,0.97,101.968,102.836,It will be adopted.,2,,
10,0.97,102.836,113.313,I am hearing no objections.,2,,
11,0.97,118.084,123.256,We will transition into public comment later and moderate the comments in the following manner--each Speaker is given two minutes to speak.,2,,
12,0.97,123.256,127.66,We will call on each Speaker by name and in the order in which you are registered on the Website.,2,,
13,0.97,127.66,135.568,"If you have not registered to speak, but would like to speak, you can sign up before the end of the public hearing by going to the Website listed on today's agenda.",2,,
14,0.97,135.568,139.372,"When I call a Speaker's name, you will hear a prompt.",2,,
15,0.97,139.372,143.776,"When you hear it, you must hit Star six to Unmute yourself.",2,,
16,0.97,143.776,148.882,State your name and the item you are addressing.,2,,
17,0.97,148.882,155.989,"When there is 10 seconds left, you will hear a Chime.",2,,
18,0.97,155.989,158.958,"Once you hear set time, we ask you to wrap up your public comments.",2,,
19,0.97,158.958,164.898,Speakers do not end the comment.,2,,
20,0.97,164.898,172.405,The speakers microphone will be muted after 10 seconds to allow us to hear the next Speaker.,2,,
21,0.97,172.405,181.848,"Once you have completed your public comment, please Disconnect from the line and if you can, we encourage you follow the meeting via the Seattle channel or the listening options that are listed on the agenda.",2,,
22,0.97,181.848,187.687,There are three people signed up for public comment today.,2,,
23,0.97,187.687,190.423,We will just move right through that.,2,,
24,0.97,190.423,198.965,"I will call a name and with that, we will begin.",2,,
25,0.97,198.965,201.334,"First, we have Howard gale, followed by Hill Sanders.",2,,
26,0.97,201.334,201.568,Howard?,2,,
27,0.97,201.568,211.878,Good morning.,3,,
28,0.97,215.014,217.85,"This morning, you will discuss the Federal Court monitor's report on SPD crisis intervention.",3,,
29,0.97,217.85,220.219,The report is based on the Self- serving Statistics provided by the SPD.,3,,
30,0.97,220.219,225.391,I have said all members have a detailed listing of the floors.,3,,
31,0.97,225.391,231.464,I can only highlight the most serious flaw in all the committee members will take a more active role in questioning the data presented.,3,,
32,0.97,231.464,244.444,"The report on crisis intervention claiming to show success was presente to the public on January 11th, barely 6 days after the SPD murdered another person in a mental health crisis.",3,,
33,0.97,244.444,245.278,The 19th such killing.,3,,
34,0.97,245.278,247.413,19 since they buried John C Williams a decade ago.,3,,
35,0.97,247.413,251.718,They were not investigated by the accountability system.,3,,
36,0.97,251.718,270.503,"The most serious thing is the monitor Repackages without any audit or interrogation--all those killed by the SPD while in mental health crisis are missing, simply absent from the data set, along with possibly other instances of serious use of force.",3,,
37,0.97,270.503,273.506,The monitor has accepted the self serving data as is.,3,,
38,0.97,273.506,288.321,"For this agenda item, and their first--the pattern of excessive force has been eliminated, citing the January 10th 2018 ruling.",3,,
39,0.97,288.321,289.822,This statement is false.,3,,
40,0.97,289.822,294.794,"They noted a reduction in the SPD's use of force, but not an elimination.",3,,
41,0.97,294.794,314.314,"In fact, the Seattle times revealed six months ago that an is pretty commissioned at an independent audit and shall continuing disparity with the use of force against black people 7.14 times per capita compared to white people.",3,,
42,0.97,314.314,320.119,"Additionally, this report repeals some of the most deadly uses of force strikes--more commonly move against black field compared to whites.",3,,
43,0.97,320.119,329.929,These reports of corruption--they demonstrate we clearly need --,3,,
