index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.015,16.116,Good afternoon.,0,,
1,0.97,16.182,20.32,It is 2:02 P.M.,0,,
2,0.97,20.387,22.922,Will the clerk please call the roll.,0,,
3,0.97,23.89,54.287,[roll called].,1,,
4,0.97,54.354,67.1,& GT; please keep going through the roll [roll called],2,,
5,0.97,67.167,70.837,If you could call on Councilmember Herbold one more time.,3,,
6,0.97,70.904,71.104,Here.,4,,
7,0.97,71.171,71.538,Thank you so much.,4,,
8,0.97,71.604,76.543,Nine present.,5,,
9,0.97,76.609,80.213,Thank you Madam clerk.,5,,
10,0.97,80.28,80.58,Presentations.,5,,
11,0.97,80.647,82.315,I am not aware of presentations.,5,,
12,0.97,82.382,87.153,The minutes of the city council meeting of March 8th 2021 have been reviewed.,5,,
13,0.97,87.22,93.326,If there is no objection the minutes will be signed.,5,,
14,0.97,93.393,98.698,Hearing no objections the hearings will be signed.,5,,
15,0.97,98.765,107.74,Referral calendar I move to adopt the introduction and referral calendar.,5,,
16,0.97,107.807,108.274,Is there a second if.,5,,
17,0.97,108.341,108.741,Second.,6,,
18,0.97,108.808,116.983,It has been moved and Seconded to adopt the introduction and referral calendar.,7,,
19,0.97,117.05,122.789,Are there any comments on the introduction and referral calendar.,7,,
20,0.97,122.856,123.256,Madam President.,8,,
21,0.97,123.323,123.89,"Yes, Councilmember",9,,
22,0.97,123.957,134.0,Is this the amend the calendar?,10,,
23,0.97,134.067,134.634,Yes.,11,,
24,0.97,134.701,170.803,I move to amend the introduction referral calendar by introducing 120019 bill entitled ordinance amending ordinance 126237 which adopted the 2021 budget including the 2021 to 2026 capital improvement program or C IP changing the appropriations to various departments and various control levels and to the budget and modifying Provisos by 3/4 vote of the city Council and by referring it to the Finance and housing committee.,12,,
25,0.97,170.87,175.775,Thank you so much.,13,,
26,0.97,175.842,180.78,It been moved and Seconded for 120019.,13,,
27,0.97,180.847,207.006,And by referring it to the Finance and housing committee . are there any additional comments on this amendment? hearing no additional comments will the clerk call the roll on I adoption.,13,,
28,0.97,207.073,209.075,Lewis.,14,,
29,0.97,209.142,211.844,Aye.,15,,
30,0.97,211.911,212.612,Morales.,16,,
31,0.97,212.679,214.581,Councilmember Morales.,16,,
32,0.97,214.647,216.95,Yes.,17,,
