index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.551,18.752,Thank you.,0,,
1,0.97,18.752,27.227,"The January 4, 2022 Meetal of the Seattle city down shrill come to order.",0,,
2,0.97,27.227,27.861,It is 2:01 P.M.,0,,
3,0.97,27.861,42.242,I am Council President from--pro Tem tail President is elected.,0,,
4,0.97,42.242,43.042,Juarez.,1,,
5,0.97,43.042,43.309,Here.,2,,
6,0.97,43.309,43.977,Hek.,3,,
7,0.97,43.977,44.511,Here.,4,,
8,0.97,44.511,46.479,Lewis.,5,,
9,0.97,46.479,49.783,Press Sdmrent Morales.,6,,
10,0.97,49.783,50.049,Here.,7,,
11,0.97,50.049,51.217,Mosqueda.,8,,
12,0.97,51.217,53.853,Present.,9,,
13,0.97,53.853,54.12,Nelson.,10,,
14,0.97,54.12,54.788,Present.,11,,
15,0.97,54.788,55.889,Pedersen.,12,,
16,0.97,55.889,56.623,Present.,13,,
17,0.97,56.623,56.923,Strauss.,14,,
18,0.97,56.923,57.223,Present.,15,,
19,0.97,57.223,59.292,Council President pro Tem Sawant.,16,,
20,0.97,59.292,59.859,Present.,17,,
21,0.97,59.859,60.593,Nine present.,18,,
22,0.97,60.593,61.261,Thank you.,19,,
23,0.97,61.261,68.134,We will now proceed to the election of the Council president for 2022 and 2023.,19,,
24,0.97,68.134,71.271,Nominations for Council President are now this order.,19,,
25,0.97,71.271,75.542,Are there any nominations from the floor?,19,,
26,0.97,75.542,78.378,Council President pro Tem?,20,,
27,0.97,78.378,78.878,Go ahead.,21,,
28,0.97,78.878,83.883,Thank you.,22,,
29,0.97,83.883,97.23,I move to nominate Council member Juarez.,22,,
30,0.97,97.23,103.57,Are there any other nomination?,23,,
31,0.97,103.57,104.704,I will Fwiet a second.,23,,
32,0.97,104.704,107.64,Hear nothing further nominations nominations will closed.,23,,
33,0.97,107.64,109.776,We will proceed with a vote.,23,,
34,0.97,109.776,117.35,Will the Cleshlg please--college please call the [Indiscernible],23,,
35,0.97,117.484,117.817,Excuse me.,24,,
36,0.97,117.817,123.99,I believe I made it a motion and then it needs to be Seconded.,24,,
37,0.97,123.99,127.393,That is fine.,25,,
38,0.97,127.393,129.229,To we have a second?,25,,
39,0.97,129.229,133.333,Lisa is trying to second.,26,,
40,0.97,133.333,134.4,"I'm sorry, council member Herbold.",26,,
41,0.97,134.4,136.536,Council member Herbold has her hand up.,27,,
42,0.97,136.536,137.737,Thank you.,28,,
43,0.97,137.737,144.077,The motion has been moved and Seconded.,28,,
44,0.97,144.077,144.978,Happy new year colleagues.,29,,
45,0.97,144.978,148.281,It is wonderful to see your faces and one new face as well.,29,,
46,0.97,148.281,159.559,Council member Juarez it is honor to be able to nominate you.,29,,
47,0.97,159.559,163.296,You have ban friend and a mentor in my term on Council.,29,,
