index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.071,8.007,We are recording.,0,,
1,0.97,8.007,10.11,Thank you.,1,,
2,0.97,10.11,10.643,Good afternoon everyone.,1,,
3,0.97,10.643,18.551,"August 12, 2021 special meeting of the community economic development committee come to order.",1,,
4,0.97,18.551,18.951999999999998,It is 2:02 P.M.,1,,
5,0.97,18.951999999999998,20.186,I'm chair of the committee.,1,,
6,0.97,20.186,26.559,Will the clerk please call the roll?,1,,
7,0.97,26.559,45.912,[roll call] that is three present.,1,,
8,0.97,45.912,50.417,Thank you.,2,,
9,0.97,50.417,51.384,We have a Quorum.,2,,
10,0.97,51.384,53.486,We have a council member that will be late.,2,,
11,0.97,53.486,55.722,I'll acknowledge her when she's here.,2,,
12,0.97,55.722,60.326,"If there's no objection, today's agenda will be adopted.",2,,
13,0.97,60.326,63.43,"Hear nothing objection, today's agenda is adopted.",2,,
14,0.97,63.43,66.699,We'll open the remote general public comment period.,2,,
15,0.97,66.699,68.468,I don't see anyone signed up.,2,,
16,0.97,68.468,71.604,I need to open the period.,2,,
17,0.97,71.604,77.377,Can you please confirm that we do not have any public speakers today?,2,,
18,0.97,77.377,81.281,There are no public comment registrants.,3,,
19,0.97,81.281,81.614,Very well.,4,,
20,0.97,81.614,92.025,"In that case, I will now close the public comment period for this committee meeting and move on to the agenda.",4,,
21,0.97,92.025,99.032,Will you please read items 1-9 into the record?,4,,
22,0.97,99.032,128.361,"Agenda items 1-9, appointments 2015-2023, the appointments of Geneva Ruga, clerk Aqua, Sergio Max, Legone, Rivera, Ruiz, showman, members of the cultural Spacele agency public development authority governing Council.",5,,
23,0.97,128.361,131.498,Briefing discussion and possible vote.,5,,
24,0.97,131.498,137.203,Thank you very much.,6,,
25,0.97,137.203,141.774,I am really excited about this what we're doing here.,6,,
26,0.97,141.774,144.41,I'm sure we'll get a little bit of background.,6,,
27,0.97,144.41,155.288,I want to remind folks the cultural space PDA we're here to talk about today is a critical step in realizing our goal as a city in building community wealth.,6,,
28,0.97,155.288,164.063,Something we've been talking about in this Committee for the year and a half I've been here.,6,,
29,0.97,164.063,183.416,The intent have a mechanism in place to help secure long term affordable commercial space with community partners that can help build community wealth through direct investment in real estate and create opportunities for ownership of cultural space.,6,,
30,0.97,183.416,202.201,"I will say over the last year, we've been hearing a lot from cultural spaces and cultural organizations about how tenuous their about to stay in the city is right now because of Covid.",6,,
31,0.97,202.201,209.409,This is an opportunity to partner with communities of color with a particular focus on black and indigenous communities.,6,,
32,0.97,209.409,215.715,Today we will be voting to seat the first governing Council of the cultural space agency.,6,,
33,0.97,215.715,222.322,The Council will be responsible for insuring that the cultural space agency is meeting its mission.,6,,
34,0.97,222.322,239.606,"Úwhile they're not going to be involved in the day-to-day management of the agency, they're ultimately responsible for the agency's finances for property investments and for compliance and executive level staffing of the agency.",6,,
35,0.97,239.606,241.641,I'm really excited about that whole body of work.,6,,
36,0.97,241.641,246.646,I know there's been a lot of work happening over the last couple of years on this.,6,,
37,0.97,246.646,256.589,Really excited to see it coming to fruition and very excited to be able to see this first governing Council.,6,,
38,0.97,256.589,267.634,"With that, I am going to hand it over to Calandra and Tim Lennon and let Y'all introduce yourselves and your new appointees.",6,,
39,0.97,267.634,269.535,"Thank you so much, council member.",7,,
40,0.97,269.535,273.806,Thank you for your enthusiasm about this work.,7,,
41,0.97,273.806,277.577,I'm the acting director at the Seattle office of arts and culture.,7,,
42,0.97,277.577,286.352,It's a pleasure to be here today to present this flight of next Council or first Council of the cultural space agency.,7,,
43,0.97,286.352,303.102,I'm going to spend a moment or two to share a little more about the cultural space agency to ground us in exactly how the public development authority works.,7,,
44,0.97,303.102,309.909,Thank you Council member for speaking about the strategies around wealth building and this is a long time coming.,7,,
45,0.97,309.909,316.649,The cultural space agency is mission driven real estate development company partnered and supported by the city of Seattle.,7,,
46,0.97,316.649,333.866,It was chartered to address the cultural spaces in the community to build community wealth through a racial equity lens partnered with black and other indigenous communities on the ownership of commercial real estate in our region.,7,,
47,0.97,333.866,344.544,The cultural space agency span in development in partnership with over 50 leaders for years and designed to serve.,7,,
