index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.209,21.454,"The March 16, 2022 meeting of the Seattle city council's public assets and homelessness committee will come to order.",0,,
1,0.97,21.454,23.49,It's 2:01 P.M.,0,,
2,0.97,23.49,29.963,Council member Juarez has informed my office she is unable to join.,0,,
3,0.97,29.963,31.431,"Which is not true, I believe.",0,,
4,0.97,31.431,35.335,I have to leave in an hour.,1,,
5,0.97,35.335,35.602,Okay.,2,,
6,0.97,35.602,35.902,Excellent.,2,,
7,0.97,35.902,40.24,I'm glad we got that out of the way early.,2,,
8,0.97,40.24,40.573,My apologies.,2,,
9,0.97,40.573,41.174,That's fine.,3,,
10,0.97,41.174,45.478,The clerk please call the role.,4,,
11,0.97,45.478,46.045,Councilmember her bold.,5,,
12,0.97,46.045,49.516,Council President Juarez.,5,,
13,0.97,49.516,50.25,Here.,6,,
14,0.97,50.25,53.62,Councilmember Morales.,7,,
15,0.97,53.62,55.288,Here.,8,,
16,0.97,55.288,56.489,Councilmember Mosqueda.,9,,
17,0.97,56.489,57.49,Present.,10,,
18,0.97,57.49,62.562,"Chair, there are four members present.",11,,
19,0.97,62.562,64.964,"I'm also present, Mr. clerk.",12,,
20,0.97,64.964,69.469,"Thank you, chair Lewis, I'll make a note of it.",13,,
21,0.97,69.469,70.069,Great.,14,,
22,0.97,70.069,71.271,Thank you.,14,,
23,0.97,71.271,71.604,Excellent.,14,,
24,0.97,71.604,72.305,We will move forward.,14,,
25,0.97,72.305,77.11,Councilmember her bold did tell me just before the meeting that she will be joining shortly.,14,,
26,0.97,77.11,85.952,"So approval of the agenda, there is no objection, the agenda will be adopted.",14,,
27,0.97,85.952,87.454,"Hearing no objection, the agenda is adopted.",14,,
28,0.97,87.454,94.427,"We are going to have a fairly crowded agenda this afternoon, just to give an overview.",14,,
29,0.97,94.427,99.432,We'll be considering the recommendation of a few board of parks commissioners.,14,,
30,0.97,99.432,105.939,We're going to get an update on the latest reports from the hope team and the human services Department.,14,,
31,0.97,105.939,113.179,We are are also going to get an update at the beginning of the agenda on partnership for zero.,14,,
32,0.97,113.179,123.323,"The new initiative of the King County regional homelessness authority, for peer navigation and outreach in the downtown Seattle neighborhood.",14,,
33,0.97,123.323,126.96,We'll get a presentation from the clean cities initiative.,14,,
34,0.97,126.96,128.361,And that should close things out.,14,,
35,0.97,128.361,136.302,So hopefully we can get through all of those items of business.,14,,
36,0.97,136.302,139.439,"Before those items of business, we do have public comment.",14,,
37,0.97,139.439,141.975,The public comment period is penciled in for 20 minutes.,14,,
38,0.97,141.975,147.28,But I believe we only have two public Commenters?,14,,
39,0.97,147.28,148.448,"Is that true, Mr. clerk?",14,,
40,0.97,148.448,149.048,That is correct.,15,,
41,0.97,149.048,149.315,Okay.,16,,
42,0.97,149.315,152.218,So it will probably go faster than that.,16,,
43,0.97,152.218,167.167,"Just as a reminder, when you hear your name called, for those who are signed up for public comment, you will hear a prompt if you have been Unmuted, that will be your Cue to begin speaking.",16,,
44,0.97,167.167,170.436,Press Star 6 to Unmute and begin with your public testimony.,16,,
45,0.97,170.436,174.908,So we will go ahead and recognize each Speaker for two minutes.,16,,
46,0.97,174.908,181.748,"And Mr. clerk, if you would please moderate the public comment period and call those speakers, that would be great.",16,,
47,0.97,181.748,186.085,And then we will proceed with the rest of our agenda this afternoon.,16,,
48,0.97,186.085,194.561,"So go ahead, please.",16,,
49,0.97,194.561,201.1,The first person signed up for public comment today is David Haines.,17,,
50,0.97,201.1,202.302,"David, you have two minutes.",17,,
51,0.97,202.302,205.905,Begin when you're ready.,17,,
52,0.97,205.905,206.973,Thank you.,18,,
53,0.97,206.973,213.613,"David Haines, District 7. the innocent homeless are still suffering in crisis.",18,,
54,0.97,213.613,231.664,"And yet racist skin priority, regardless of character issues or criminality are being Prioritized in shelter, either race war employees with the home service providers and human services, following city council's racist, Anti-Social justice agenda.",18,,
55,0.97,231.664,247.247,"Let's listen to the upcoming data about to be offered that points out how they only help black and Brown homes less, even if they are breaking laws.",18,,
56,0.97,247.247,249.148,While others are discriminated against because they're white.,18,,
57,0.97,249.148,261.16,"Is it true that most of the homeless efforts have gone exclusively to 66% of the black and Brown homeless, regardless of crimes, drugs or mental problems?",18,,
58,0.97,261.16,271.237,It's more proof Seattle is the most hypocritical racists in America.,18,,
59,0.97,271.237,274.607,While skin coloring Misjudging innocent people.,18,,
60,0.97,274.607,287.086,"It's frustrating how passive two faced racist these Council is, proving the Democratic party is the real racist party in America, judging skin color instead of character.",18,,
61,0.97,287.086,293.293,A sacrilege to the namesake of this Martin Luther King.,18,,
62,0.97,293.293,305.805,"More concerned about free hockey Jerseys than enforcing the original memorandum of understanding by Obg, who Co- opted, who violated M.L.U.",18,,
63,0.97,305.805,323.056,"When they went from 15-Feet to 40-Feet deep in building the most modern third world arena, with fancy couches to trick the yet the homeless are being treated by the leaders in this corrupt city.",18,,
64,0.97,323.056,328.061,You think it's okay to limit the homeless services.,18,,
65,0.97,328.061,337.236,Why can't King County clinic go to Lumas field or other instead of being denied --,18,,
66,0.97,337.236,337.704,"Thank you, David.",19,,
67,0.97,337.704,342.608,Our next public Commenter is Damon panel.,19,,
68,0.97,342.608,350.249,"Damon, we'll begin whenever you're ready.",19,,
69,0.97,350.249,364.13,"Damon, you may need to press Star 6 to Unmute yourself.",19,,
70,0.97,372.972,373.239,Okay.,20,,
71,0.97,373.239,381.481,"Well, unfortunately, looks like we won't be able to get that second Speaker Online.",20,,
72,0.97,381.481,388.354,So I think we'll close the public comment period and move on.,20,,
73,0.97,388.354,393.025,With our agenda today.,20,,
74,0.97,393.025,393.226,Okay.,20,,
75,0.97,393.226,396.763,Let's proceed to the first item of business.,20,,
76,0.97,396.763,402.301,Mr. clerk will you please read item 1 into the record?,20,,
77,0.97,402.301,408.975,"Item 1, King County regional homelessness authority partnership for zero briefing and discussion.",21,,
78,0.97,408.975,411.511,Excellent.,22,,
79,0.97,411.511,415.681,So my understanding is mark duds needs to leave the committee by 3:00 P.M.,22,,
80,0.97,415.681,421.954,"I think we'll be able to easily accommodate that, since we're reaching item 1 earlier than anticipated.",22,,
81,0.97,421.954,425.425,Excellent.,22,,
82,0.97,425.425,428.861,"So mark, thank you for joining us this afternoon.",22,,
83,0.97,428.861,437.77,"Why don't you go ahead, introduce yourself, introduce your fellow panelists and go ahead and dive right into it.",22,,
84,0.97,437.77,441.641,I'd ask committee members to hold questions until the conclusion of the presentation.,22,,
85,0.97,441.641,443.242,But good to see you.,22,,
86,0.97,443.242,443.509,Welcome.,22,,
87,0.97,443.509,448.714,"Good to see you, Councilmember.",23,,
88,0.97,448.714,453.052,"Mark Donees, they, them pronouns.",23,,
