index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.385,19.052,"Good afternoon, everyone.",0,,
1,0.97,19.052,21.921,"The November 30th, 2020 meeting of the Seattle city council will come to order.",0,,
2,0.97,21.921,23.923000000000002,Will the clerk please call the room?,0,,
3,0.97,23.923000000000002,30.43,Councilmember Mosqueda?,1,,
4,0.97,30.43,30.83,Present.,2,,
5,0.97,30.83,31.464,Councilmember Pedersen?,3,,
6,0.97,31.464,31.831,Here.,4,,
7,0.97,31.831,34.934,Councilmember Sawant?,5,,
8,0.97,34.934,35.869,Here.,6,,
9,0.97,35.869,37.771,Councilmember Strauss?,7,,
10,0.97,37.771,39.172,Here.,8,,
11,0.97,39.172,45.245,Councilmember Herbold?,9,,
12,0.97,45.245,46.112,Here.,10,,
13,0.97,46.112,48.948,Councilmember Morales?,11,,
14,0.97,48.948,58.458,Here.,12,,
15,0.97,58.458,59.092,Eight present.,13,,
16,0.97,59.092,60.093,"Thank you, Madam clerk.",14,,
17,0.97,60.093,63.63,"I am not aware of any presentations today, so we will move to approval of the minutes.",14,,
18,0.97,63.63,72.272,The minutes of the city council meeting have been reviewed.,14,,
19,0.97,72.272,74.307,"If there is no objection, the minutes will be signed.",14,,
20,0.97,74.307,75.909,"Hearing no objection, the minutes are being signed.",14,,
21,0.97,75.909,77.977,Will the clerk please affix my signature to the minutes?,14,,
22,0.97,77.977,79.078,Adoption of the referral calendar.,14,,
23,0.97,79.078,89.989,"If there is no objection, the proposed introduction of the referral calendar will be adapted . approval of the agenda.",14,,
24,0.97,89.989,92.392,"If there is no objection, the agenda will be adopted.",14,,
25,0.97,92.392,94.828,"Hearing no objection, the agenda is adopted.",14,,
26,0.97,94.828,108.241,"Colleagues, at this point we will open the public comment period, and the Council's 2020 work program.",14,,
27,0.97,108.241,116.349,I want to thank everybody for their ongoing patience and cooperation as we continue to operate these remote public comment system.,14,,
28,0.97,116.349,130.63,It is important to have a public comment regularly included on meeting Agendas Prk at any point if we deem this system is being abused or is no longer suitable for allowing our Meetingsto be conducted efficiently and effectively.,14,,
29,0.97,130.63,132.866,I will moderate the public comment period in the following manner.,14,,
30,0.97,132.866,141.14,The public comment period for this reading is 20 minutes and each Speaker will be given two minutes to speak.,14,,
31,0.97,141.14,147.313,Double: each Speaker by name and in the order in which they Preregistered on the Council's Website.,14,,
32,0.97,147.313,153.353,"If you have not yet registered to speak but would like to, you can sign up before the end of public comment by going to the Council's Website.",14,,
33,0.97,153.353,161.261,The public comment is listed on today's agenda.,14,,
34,0.97,161.261,177.877,"Once I call a Speaker's name, staff will Unmute the appropriate microphone and an automatic prompt of, ""You have been Un-Muted"" will be the Speaker's Queue for their turn to speak.",14,,
35,0.97,177.877,180.513,The Speaker must press Star sex in order to have us hear them.,14,,
36,0.97,180.513,193.526,"Again, you will hear a prompt if you have been Un-Muted and then you will press Star six.",14,,
37,0.97,194.661,196.596,Public comment should relate to an item on today's agenda.,14,,
38,0.97,196.596,206.94,The referral calendar or the Council's 2020 work program.,14,,
39,0.97,206.94,209.809,Speakers will hear a Chime when 10 seconds are left of their allotted time.,14,,
40,0.97,209.809,212.845,"Once you hear the Chime, we ask you begin to wrap up your public comment.",14,,
41,0.97,212.845,218.918,"If Strippers do not end their comment at the end of the allotted time provided, the Speaker's microphone will be muted to allow us to call on the next Speaker.",14,,
42,0.97,218.918,230.129,"We ask you please Disconnect from the line and if you can pin new following this meeting, you can do so via the Seattle channel or the listening options listed on the agenda.",14,,
43,0.97,230.129,237.236,The public comment period is not open and we will begin with the first Speaker analyst.,14,,
44,0.97,237.236,240.673,"Again, please are member to press Star six after the prompt of you have been Un-Muted.",14,,
45,0.97,240.673,253.453,"The first Speaker today, excuse me, will be Castille followed by Howard.",14,,
46,0.97,253.453,255.855,"Hi, my name is Casteel Hightower.",15,,
47,0.97,255.855,266.366,"In 2004, our family was torn apart and searching for answers.",15,,
48,0.97,266.366,268.067,Answers the Seattle police have refused to give us.,15,,
49,0.97,268.067,279.879,We continue to receive the same copy and paste answer each time . I am asking for the city council's support to help my family find answers as to what happened to my brother.,15,,
50,0.97,279.879,285.518,The letter asks as PD to release my brother's records.,15,,
51,0.97,285.518,300.933,We have over 1800 signatures on a petition . There has been a complete lack of accountability.,15,,
52,0.97,300.933,310.343,Your support would be much appreciated.,15,,
53,0.97,310.343,315.415,All the family whose loved ones have been killed at the hands of Seattle police deserve accountability.,15,,
54,0.97,315.415,325.124,"Council members, please sign the letter and thank you to Councilmember Sawant for your support you have given to help this petition.",15,,
55,0.97,325.124,328.027,Thank you.,15,,
56,0.97,328.027,329.495,Thank you for calling in today.,16,,
57,0.97,329.495,335.134,Up next is Howard Gail followed by Dan Roche.,16,,
58,0.97,335.134,337.336,"Hi, good afternoon.",17,,
