index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,1.935,5.438,We are ready when you are.,0,,
1,0.97,5.438,6.9399999999999995,Ready.,1,,
2,0.97,6.9399999999999995,17.283,We are recording.,2,,
3,0.97,19.352,19.719,Good afternoon.,3,,
4,0.97,19.719,22.255,This is especially scheduled meeting of the Sustainability and Renters' rights committee of the Seattle city council.,3,,
5,0.97,22.255,24.958,"Today is Wednesday, may 12, 2021 and the time is 2:00 P.M.",3,,
6,0.97,24.958,34.367,"I am the chair of the committee, Councilwoman Sawant and will the clerk call the roll?",3,,
7,0.97,34.367,34.801,Councilmember?,4,,
8,0.97,34.801,36.002,Present.,5,,
9,0.97,36.002,36.536,Councilmember Juarez?,6,,
10,0.97,36.536,40.173,Here.,7,,
11,0.97,40.173,40.74,Councilmember Pedersen?,8,,
12,0.97,40.74,41.808,Here.,9,,
13,0.97,41.808,43.476,Councilmember Lewis?,10,,
14,0.97,43.476,48.314,Present.,11,,
15,0.97,48.314,48.882,Councilmember Morales?,12,,
16,0.97,48.882,49.416,Here.,13,,
17,0.97,49.416,54.187,Five present.,14,,
18,0.97,54.187,55.288,Thank you and thank you Councilmembers.,15,,
19,0.97,55.288,72.205,"In today's committee meeting we will be discussing bills to close the just cause loophole from the just cause Eviction notice from the city and a bill to ban school Evictions of school children, their families and educators.",15,,
20,0.97,72.205,123.723,"As with our last meeting on April 27th, today is a Údiscussion only with the set O great Communally analyst a given time and many of them during the work day to speak to us at the next meeting of the Sustainability and Renters' rights Committee on May 25th and hoping we can take up amendments and vote on the bills . We have two just cause build before the committee has members know and one that my office introduced another introduced by Councilmember Morales which we are Cosponsoring and the two just cause bills aim to close the current loophole that landlords have exploited although they take a different legal approach and as we go through discussion today and beyond am looking forward to working with Councilmember Morales and other Councilmembers in this Committee and on city Council to pass the bill, the strongest possible bill that closes the loophole without exception.",15,,
21,0.97,123.723,124.958,This is what Renters urgently need and that is our goal.,15,,
22,0.97,124.958,129.162,And most importantly to witness we need Renters to get organized.,15,,
23,0.97,129.162,159.158,"After we hear from our community panel which is our first agenda item, I shall have staff presenting on two just cause bills and given Councilmember Morales put forward one of the bills I invite her to give her opening remarks before the presentation in agenda item 2. we meet today just 50 days, less than two months from the end of the current city and state moratoriums on Evictions.",15,,
24,0.97,159.158,176.843,As you although the mayors moratorium declaration ends on June 30th and last month Democrats and Republicans in the state legislator directed that the state moratorium and on June 30th as well.,15,,
25,0.97,176.843,192.091,"There is no question we hope our movement can pressure Mayor Durkan to extend the current moratorium be on June 30th, but that task has become much more difficult with the state Legislature action . It is extremely unfortunate but this is what the state and political establishment has done.",15,,
26,0.97,192.091,212.078,"Unless Mayor Durkan and Governor Jay Inslee act to extend these moratoriums then on July 1ST, thousand of Seattle Renters and 150,000 Renters Throughou Washington State who are behind on rent according to the U.S. Census Bureau will be in greater jeopardy than they are already of losing their housing.",15,,
27,0.97,212.078,243.309,This is why it is urgent that we act to pass not only the closing of the loophole in the just cause Eviction ordinance and also the others Renters rights legislation that my office has announced . We know the corporate landlords are gearing up to file huge numbers of Evictions against struggling tenants as soon as the moratoriums and and this is the appalling news that our Council office has been hearing from Renters who have been reaching out to us in greater numbers in recent weeks.,15,,
28,0.97,243.309,259.492,They say that corporate landlords are claiming that as soon as the moratorium is lifted they will go to court to file objections even though Renters are still struggling from the unprecedented crisis of this past year.,15,,
29,0.97,259.492,278.044,"They wrote to us,, quote,, I am an 85-Year-Old senior whose rent has gone up nearly--yearly so high it takes up 90% of my social security income and with $125 a month is due when the moratorium ends I don't know how I will pay It., end quote.",15,,
30,0.97,278.044,289.956,"Leslie told us,, quote,, as a property manager in the area of the last 20 years I have seen firsthand relentless rent increases done just because the owner can.",15,,
31,0.97,289.956,302.535,"For the last 10 years I ran a business and I know the profit loss and breakdown annually and with the rental income of roughly $80,000 a month left salaries, maintenance, insurance, property Tech it's, the profits are still enormous.",15,,
32,0.97,302.535,319.585,I was subjected daily to the owners by being told she didn't have enough money for whatever is needed to be done and quite frankly I was glad I was laid off in December because the first thing she will do when the moratorium is lifted is a victim a few that are behind in rent.,15,,
33,0.97,319.585,326.959,I let my full support to these measures and that Councilwoman Sawant has put forward.,15,,
34,0.97,326.959,337.17,These and other members we hear from our frightened but as is obvious they are also organizing and joining up with our office and with rental advocates and with Socialist than fighting back.,15,,
35,0.97,337.17,363.262,More than 560 community members have signed our community petition calling for the city Council to close the just cause loophole including 100 people who signed just this morning when they heard about this afternoon's committee meeting and I really appreciate community members being engaged.,15,,
36,0.97,363.262,364.931,Let's be clear the problem lies almost exclusively with corporate landlords.,15,,
37,0.97,364.931,365.365,It's not rhetoric.,15,,
38,0.97,365.365,366.299,Its nationwide data that indicates this.,15,,
39,0.97,366.299,378.077,And this is a matter of both economic and racial justice as black and Brown tenants are subjected to Eviction threats at much higher rates than other tenants.,15,,
40,0.97,378.077,383.015,You might think with local state and national Eviction moratoriums in place that corporate landlords would put off conviction filings but you would be wrong in thinking that.,15,,
41,0.97,383.015,401.901,"As the corporate watchdog group recently reported, even stated national Eviction moratoriums and affect private equity firms and other corporate landlords are still insisting on Evicting families during the pandemic particularly families of color.",15,,
42,0.97,401.901,409.709,"And we have more data that I will go over later, but we know that even in Seattle the situation is no different according to the housing justice project.",15,,
43,0.97,409.709,421.454,Landlords have filed 400 Eviction notices since Covid began last year and we have absolutely every political obligation and moral Habitation to stop the corporate landlord Eviction tsunami.,15,,
44,0.97,421.454,442.208,"I am grateful to the community panel of Renters who will be here today to describe how it is affecting them, why the loophole should be closed, and also add as I did at the last committee that my staff and I have directly spoken with dozens of tenants who work with us to close the loophole including newly activated tenants.",15,,
45,0.97,442.208,456.556,I'm really happy that we have Councilmembers Morales and Lewis both having publicly stated support for closing the just cause loophole and we will be discussing both legislation today.,15,,
46,0.97,456.556,459.091,And this is what tenants have been calling for.,15,,
47,0.97,459.091,489.188,We have seen that we absolutely will lead a Renter led movement to make sure we close the loophole and we have seen repeatedly how insider negotiations can result in a Watered-Down bill but does not protect all tenants and we just saw this with the state house bill 1236 which was just cause statewide which is important then leaves gaping loopholes for corporate landlords to exploit.,15,,
48,0.97,489.188,501.467,"Also this afternoon we get a report on the bill that my office introduced banning Schoolyard Evictions for school children, families and educators.",15,,
