index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.341,10.677,This meeting will come to order.,0,,
1,0.97,10.677,12.545,The time is 9:33 A.M ..,0,,
2,0.97,12.545,24.824,Will the clerk please call the roll?,0,,
3,0.97,24.824,25.091,Juarez?,1,,
4,0.97,25.091,28.795,Here.,2,,
5,0.97,28.795,28.995,Here.,2,,
6,0.97,28.995,29.262,Lewis?,3,,
7,0.97,29.262,29.562,Present.,4,,
8,0.97,29.562,29.863,Morales?,5,,
9,0.97,29.863,30.096,Here.,6,,
10,0.97,30.096,30.397,Mosqueda?,7,,
11,0.97,30.397,36.636,Pedersen.,7,,
12,0.97,36.636,38.371,Here.,8,,
13,0.97,38.371,38.638,Sawant?,9,,
14,0.97,38.638,38.872,Here.,10,,
15,0.97,38.872,41.741,Strauss?,11,,
16,0.97,41.741,42.042,Present.,12,,
17,0.97,42.042,42.342,Herbold?,13,,
18,0.97,42.342,46.079,Here.,14,,
19,0.97,46.079,48.081,Council President Gonzalez?,15,,
20,0.97,48.081,48.481,Here.,16,,
21,0.97,48.481,48.882,Nine present.,17,,
22,0.97,48.882,57.057,"Councilmembers Shlg the Council rules are silent, I'll allow electronic participation at Council briefing meetings.",18,,
23,0.97,57.057,65.799,"In order to continue participating remotely, I'm going to move to suspend the Council rules through August 1ST, 2020, to allow this meeting to occur while participating through electronic means.",18,,
24,0.97,65.799,76.709,"If there is no objection, the Council rules will be suspended to allow electronic participation at Council briefing meetings through August 1ST of 2020.",18,,
25,0.97,76.709,88.721,"Hearing no objection, the Council rules are suspended and briefing meetings will be held Wth Council members participating electronically through August 1ST of 2020.",18,,
26,0.97,88.721,96.329,"If there is no objection, the minutes of July 6th, 2020, will be adopted.",18,,
27,0.97,96.329,99.065,"Hearing no objection, the minutes are adopted.",18,,
28,0.97,99.065,99.732,President's report?,18,,
29,0.97,99.732,103.87,I'll try to get through this quickly.,18,,
30,0.97,103.87,112.111,Just wanted to remind folks and give you all a quick update regarding the Council's calendar for the remaining year.,18,,
31,0.97,112.111,127.727,You should have received some updates from Council member Mosqueda as chair of the select budget Committee on some issues related to Calendaring for the rest of the year and I'm sure she will go through this in her report this morning so I won't cover those for you.,18,,
32,0.97,127.727,130.196,I'll leave them for Councilmember Mosqueda to cover.,18,,
33,0.97,130.196,150.216,"I'll send out a memo to the legislative Department confirming the dates of the city council's summer Recess, which, for 2020, falls between August 24th and September 4TH, so as a reminder SH, the Council rules state that Council briefings and city council meetings will not be held on the last two Mondays of August.",18,,
